303,v,iffy,emoji,black,annotation,shortname,hexcode,group,subgroups,tags,openmoji_tags,openmoji_author,openmoji_date,skintone,skintone_combination,skintone_base_emoji,skintone_base_hexcode,unicode,order
,1,,♓️,,Pisces,Pisces,2653,symbols,zodiac,"fish, pisces, zodiac",,Sina Chlod,2018-11-16,,,,,0.6,4111
,1,,♀️,,female sign,female,2640,symbols,gender,woman,"woman, sign, gender",Hilda Kalyoncu,2018-04-18,,,,,4,4147
,1,,♂️,,male sign,male,2642,symbols,gender,man,"man, sign, gender",Hilda Kalyoncu,2018-04-18,,,,,4,4149
,1,,♾️,,infinity,infinity,267E,symbols,math,"forever, unbounded, universal",,Selina Lange,2019-05-06,,,,,11,4158
,1,,❔,,white question mark,question,2754,symbols,punctuation,"?, mark, outlined, punctuation, question","punctation, mark, question, white",Selina Lange,2019-05-06,,,,,0.6,4164
,1,,❕,,white exclamation mark,exclaimation,2755,symbols,punctuation,"!, exclamation, mark, outlined, punctuation","exclamation, mark, punctation, white",Hilda Kalyoncu,2018-04-18,,,,,0.6,4165
,1,,💲,,heavy dollar sign,dollar,1F4B2,symbols,currency,"currency, dollar, money",,Marleen Heine,2018-11-16,,,,,0.6,4170
,1,,🔱,,trident emblem,trident,1F531,symbols,other-symbol,"anchor, emblem, ship, tool, trident","trident, emblem",Hilda Kalyoncu,2018-04-18,,,,,0.6,4177
,1,,✔️,,check mark,tick,2714,symbols,other-symbol,"check, mark, ✓","check, mark, right, todo",Carlin MacKenzie,2020-05-12,,,,,0.6,4185
,1,,❌,,cross mark,cross,274C,symbols,other-symbol,"cancel, cross, mark, multiplication, multiply, x, ×","cancel, wrong, multiply, x,",Hilda Kalyoncu,2018-04-18,,,,,0.6,4186
,1,,⚪️,,white circle,circle,26AA,symbols,geometric,"circle, geometric",,Ricarda Krejci,2019-05-07,,,,,0.6,4286
,1,,⬜️,,white large square,square,2B1C,symbols,geometric,"geometric, square",,Laura Schießer,2019-05-06,,,,,0.6,4295
,1,,🔺,,red triangle pointed up,triangle,1F53A,symbols,geometric,"geometric, red",arrow,Lisa Schulz,2018-04-18,,,,,0.6,4310
,1,,🏳️,,white flag,flag,1F3F3,flags,flag,waving,white,Aileen Gedrat,2018-11-16,,,,,0.7,4321
